engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability,decision_response_probability,uncontained_risk_probability,contained_or_avoided_probability,trace
NumPy density matrix,Sensor-only,0,0.0,0.0,0.02,0.014999999999999987,0.010109156412564753,0.010018907681419442,0.005044285193977102,0.005,0.0020000000000000005,0.0010000000000000002,0.005044285193977102,0.0010000000000000002,0.005039240908783125,0.0009949557148060232,1.0
NumPy density matrix,Sensor-only,1,0.0,0.0,0.019999999999999997,0.015000000000000003,0.010233560549759345,0.01003965451901358,0.00509724570145489,0.005000000000000002,0.0020000000000000018,0.0010000000000000007,0.00509724570145489,0.0010000000000000007,0.005092148455753436,0.0009949027542985453,1.0
NumPy density matrix,Sensor-only,2,0.0,0.0,0.02000000000000001,0.015000000000000013,0.010373044995350668,0.010062288722930154,0.005159008197654797,0.005000000000000002,0.0020000000000000018,0.0009999999999999998,0.005159008197654797,0.0009999999999999998,0.005153849189457142,0.0009948409918023452,1.0000000000000002
NumPy density matrix,Sensor-only,3,0.0,0.0,0.02000000000000001,0.014999999999999996,0.01052742132165413,0.010086860585511826,0.005229705164774293,0.005000000000000004,0.0020000000000000013,0.0009999999999999998,0.005229705164774293,0.0009999999999999998,0.005224475459609519,0.0009947702948352262,1.0000000000000002
NumPy density matrix,Sensor-only,4,0.0,0.0,0.020000000000000028,0.01499999999999999,0.01069648042587199,0.010113422303809343,0.005309474261280586,0.005000000000000001,0.0019999999999999996,0.0009999999999999998,0.005309474261280586,0.0009999999999999998,0.005304164787019306,0.0009946905257387187,1.0
NumPy density matrix,Sensor-only,5,0.0,0.0,0.020000000000000025,0.014999999999999989,0.010879992901635906,0.010142027793534377,0.00539845763690991,0.005000000000000004,0.0020000000000000018,0.0010000000000000005,0.00539845763690991,0.0010000000000000005,0.005393059179273001,0.0009946015423630897,1.0
NumPy density matrix,Sensor-only,6,0.0,0.0,0.02000000000000001,0.015,0.011077709444913021,0.010172732495013208,0.005496801195248665,0.005000000000000004,0.0020000000000000005,0.0009999999999999998,0.005496801195248665,0.0009999999999999998,0.005491304394053417,0.000994503198804751,1.0000000000000002
NumPy density matrix,Sensor-only,7,0.0,0.0,0.02000000000000003,0.014999999999999996,0.011289361293359687,0.01020559317172848,0.005604653806045468,0.005000000000000001,0.002000000000000002,0.0010000000000000009,0.005604653806045468,0.0010000000000000009,0.00559904915223942,0.0009943953461939551,0.9999999999999999
NumPy density matrix,Sensor-only,8,0.0,0.0,0.020000000000000042,0.015000000000000006,0.011514660698135582,0.010240667702060259,0.0057221664696754,0.004999999999999997,0.002,0.000999999999999999,0.0057221664696754,0.000999999999999999,0.005716444303205729,0.0009942778335303242,1.0
NumPy density matrix,Sensor-only,9,0.08333333333333333,0.0,0.020349292213022514,0.015000000000000006,0.011754709098368198,0.010278018276201319,0.005849497628131287,0.004999999999999998,0.002000000000000001,0.0009999999999999996,0.005849497628131287,0.0009999999999999996,0.005843648130503157,0.0009941505023718681,0.9999999999999999
